channel id,,channel Name,Channel Link,Lead,,Moderator,,Hosts,,Automod Moderators,,influential_casters,channel_age (days),channel_tier_name,,,channel_link,channel_tier,channel_tier_last,top_domains,engagement,wow_engage,got_casts,wow_cast,casters,casters_wow,onchain_experts,trading_experts,contract_experts,split_1,active_npc,wow_npc,active_user,wow_active_user,active_star,wow_star,active_influencer,wow_influencer,active_vip,wow_vip,split_0,top_casters,got_replies,wow_reply,got_likes,wow_likes,got_recasts,wow_recasts,all_caster_fids
,Seed Peers FIDs,,,Lead Username,Lead FID,Mod Username,Mod FID,hosts usernames,hosts_fid,fids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp,"4482,564373,4482, 8433, 234616, 368422, 223277,223277, 234616, 243719, 4482, 8433",HAM 🍖,https://warpcast.com/~/channel/lp,deployer,4482,automod-delta,564373,"deployer, codincowboy, pichi, automod, deefs.eth","4482, 8433, 234616, 368422, 223277","223277, 234616, 243719, 4482, 8433",,[claireujma puffdood.eth undefined],120,👑 stadium,,,<a href='https://warpcast.com/~/channel/lp' target='_blank'>lp</a>,4,4,[ham.bot) build.top youtu.be],9998.799097,-634.0547067,23418,-2083,11647,-9,5175,2051,1590,||,4326,-201,3533,80,3732,110,50,3,6,-1,||,[sun111 maruf951 kryptogirl30],605970,-61501,779098,-248175,197055,-36369,
paidgroup,"343622,440220,343622, 368422, 5365,10144, 196041, 216282, 218142, 240847, 343622, 369769, 384929, 385126, 398596, 408777, 417915, 421924, 4715, 5365",paid group,https://warpcast.com/~/channel/paidgroup,karbonbased,343622,notabot,440220,"karbonbased, automod, him","343622, 368422, 5365","10144, 196041, 216282, 218142, 240847, 343622, 369769, 384929, 385126, 398596, 408777, 417915, 421924, 4715, 5365",,[claireujma cryptogirls dragonite.eth],81,👑 stadium,,,<a href='https://warpcast.com/~/channel/paidgroup' target='_blank'>paidgroup</a>,4,4,[ham.bot) build.top frame.theoldcastle.xyz],9360.798281,-380.9186847,22347,169,12474,2379,5252,2026,1567,||,5263,998,3704,755,3449,616,51,8,7,2,||,[lofitech alamu g-mac1],515351,-35407,713938,-118739,198635,-21607,
zora,"8,8, 3380, 2222, 3264, 5952, 17129, 1711",Zora,https://warpcast.com/~/channel/zora,jacob,8,,,"jacob, dee, tyson, heybitch, incarterseyes.eth, rawtoast, wowbestie","8, 3380, 2222, 3264, 5952, 17129, 1711",,,[jessepollak cryptogirls claireujma],272,👑 stadium,,,<a href='https://warpcast.com/~/channel/zora' target='_blank'>zora</a>,4,4,[zora.co far.quest farcaster.manifold.xyz],8012.191954,-3356.097684,43195,-34455,26722,2744,11103,3897,3718,||,13062,2881,7826,-63,5766,-71,60,0,8,-3,||,[qpqifjjw vuonglong mymap],285570,-216220,2.02E+06,-3.63E+06,173191,-231841,
masks,"245017,245017, 368422,245017, 246840, 262383, 275757, 290116, 320219, 322682",$MASKS,https://warpcast.com/~/channel/masks,thecryptomath,245017,,,"thecryptomath, automod","245017, 368422","245017, 246840, 262383, 275757, 290116, 320219, 322682",,[undefined ed1t 0xluo.eth],41,👑 stadium,,,<a href='https://warpcast.com/~/channel/masks' target='_blank'>masks</a>,4,3,[far.quest ham.bot) build.top],7219.57179,3122.582289,28868,13551,16541,5036,6788,2134,1982,||,6751,1814,5345,1871,4424,1352,19,1,2,-2,||,[hj222 mersana1398 barkahalisena22],304608,231478,678037,193850,85461,31498,
superrare,"9480,9480, 190045, 12299, 346769, 374498, 513681, 270678, 368422,12299, 190045, 270678, 346769, 374498, 513681, 9480",SuperRare,https://warpcast.com/~/channel/superrare,brennan,9480,,,"brennan, superrarejohn, emmajoelle, pawgsaveamerica, humanzero, cha-ching, superrare, automod","9480, 190045, 12299, 346769, 374498, 513681, 270678, 368422","12299, 190045, 270678, 346769, 374498, 513681, 9480",,[puffdood.eth claireujma goose],223,👑 stadium,,,<a href='https://warpcast.com/~/channel/superrare' target='_blank'>superrare</a>,4,4,[ham.bot) superrare.com build.top],6819.604695,-1310.798758,16481,-2475,8937,-380,3702,1606,1408,||,2452,-8,2708,-265,3733,-114,40,6,4,1,||,[tonyminh jensen66 moji21],271726,-98283,523318,-385382,86723,-46334,
banmal-mode,"336963,336963, 368422,336963, 440220",반모 banmo,https://warpcast.com/~/channel/banmal-mode,banmo.eth,336963,,,"banmo.eth, automod","336963, 368422","336963, 440220",,[undefined imthedude 199.eth],44,👑 stadium,,,<a href='https://warpcast.com/~/channel/banmal-mode' target='_blank'>banmal-mode</a>,4,4,[build.top ham.bot) t.me],6691.515418,-4397.180124,13212,-12586,3963,-458,1255,584,295,||,695,-339,1285,-33,1972,-79,10,-6,1,-1,||,[creambread hj222 design4u],276387,-472699,386085,-757262,73424,-133433,
degen,"528,2904, 528, 15983, 2210, 14364, 16819, 368422",Degen,https://warpcast.com/~/channel/degen,0xen,528,,,"wake, 0xen, jacek, kenny, purp, pedrowww, automod","2904, 528, 15983, 2210, 14364, 16819, 368422",,,[puffdood.eth dragonite.eth cryptogirls],272,👑 stadium,,,<a href='https://warpcast.com/~/channel/degen' target='_blank'>degen</a>,4,4,[build.top ham.bot) far.quest],5909.679336,565.2633312,23505,-1633,19308,1047,8780,3716,3021,||,7798,287,6285,305,5117,439,85,10,23,6,||,[danimughal queenbae marina-ahmadova],190122,71745,575376,-434681,69493,-20268,
replyguys,"5034,5034, 368422, 269694, 7708, 292880, 18262,18262, 269694, 292880, 5034, 7708",reply guys,https://warpcast.com/~/channel/replyguys,tervo,5034,,,"tervo, automod, bitfloorsghost.eth, zerolearn, berg, droo4you","5034, 368422, 269694, 7708, 292880, 18262","18262, 269694, 292880, 5034, 7708",,[claireujma puffdood.eth agust.eth],122,👑 stadium,,,<a href='https://warpcast.com/~/channel/replyguys' target='_blank'>replyguys</a>,4,3,[ham.bot) build.top far.quest],5365.845904,1364.253489,12959,2765,12106,918,5630,2565,2024,||,4969,-1,3485,360,3559,543,75,12,18,4,||,[omgidrawedit newbase laotaro],179055,89335,329143,89298,34925,5281,
base,"12142,565060,99, 12144, 3895, 12142, 211241, 17318, 368422, 17106,12142, 12144, 17106, 17318, 211241, 3895, 99",Base,https://warpcast.com/~/channel/base,base,12142,automod-ringo,565060,"jessepollak, wbnns, drewcoffman.eth, base, svmvn, patty, automod, consecution.eth","99, 12144, 3895, 12142, 211241, 17318, 368422, 17106","12142, 12144, 17106, 17318, 211241, 3895, 99",,[dragonite.eth itai agust.eth],272,🎭 subculture,,,<a href='https://warpcast.com/~/channel/base' target='_blank'>base</a>,3,3,[build.top far.quest zora.co],4494.074036,-126.1369098,19293,6296,22734,1813,10665,4482,3784,||,11790,1307,5856,381,4979,120,87,5,22,0,||,[mehrdadranjbar crisstiana antidoted],90259,5174,507252,-130454,67175,-23770,
design,"4923,4923, 20270, 1317, 5431, 431, 576, 557, 1355, 771, 7325, 368422,1317, 1355, 20270, 431, 4923, 5431, 557, 576, 7325, 771",Design,https://warpcast.com/~/channel/design,antimofm.eth,4923,,,"antimofm.eth, heavygweit, 0xdesigner, esdotge.eth, j4ck.eth, nonlinear.eth, pugson, bias, jpren.eth, labadie.eth, automod","4923, 20270, 1317, 5431, 431, 576, 557, 1355, 771, 7325, 368422","1317, 1355, 20270, 431, 4923, 5431, 557, 576, 7325, 771",,[agust.eth puffdood.eth claireujma],272,🎭 subculture,,,<a href='https://warpcast.com/~/channel/design' target='_blank'>design</a>,3,4,[far.quest zora.co build.top],3923.303406,-1406.050529,7793,-6733,11635,-1282,3364,1265,1062,||,3981,-149,3954,-737,3651,-405,37,4,12,5,||,[raxy digitalmaestro enchantingepoch],64839,-33384,542014,-1.39E+06,45616,-26530,
