channel id,Seed Peers FIDs
lp,
paidgroup,
zora,
masks,
superrare,"9480,9480, 190045, 12299, 346769, 374498, 513681, 270678, 368422,12299, 190045, 270678, 346769, 374498, 513681, 9480"
banmal-mode,
degen,
replyguys,
base,
design,
regen,
founders,
farcaster,
build,"8446, 195255, 221216, 6730, 9856, 4461, 1214, 9816, 15732, 399485, 16085, 14351, 99"
food,
degentokenbase,
south-korea,
memes,"576, 3, 2, 3621, 239, 457, 347, 557, 4407, 1287, 1325"
farcasther,
art,
itookaphoto,
omof,
perl,
replyke,
dev,"191, 6841"
replyors,
powerbadgecabal,
lifeisgood,
wearesoearly,
co,
powerfeed,
photography,
farcon,
bros,
travel,
cryptoart,
83xdao,
appreciation,
drakula,
alfafrens,
checkin,
warpcast,
nature,
neged,
nomadicframe,
ethereum,
coffee,
fitness,
ventures,
degen-art,
yoyotoken,
tickle,
beatvn,
frames,
gifart,
gm,
pill,
competitionalert,
bitcoin,
degensxregens,
undrgrnd,
sonata,
success,
degen-japan,
artfrens,
chatbfg,
ai-art,
art-share,
powermonday,
crypto-paradise,
green-pill,
mfers,
football,
farcastles,
bestplaces,
farcards,
confessions,
saebyuckbaan,
music,
alphathailand,
anuong,
enjoy,
whoami,
rromd,
base-builds,
magyarok,
photographers,
cats,
meoww,
airstack,
gig,
spanish,
gen-art,
farther,
airdropmemo,
cryptogirls,
easypaid,
greenpill,
publicgoods,
vitamin-girl,
crypto,
sevendao,
japanese,
fire-bonus,
boostup,
fomo,
tocd,
poetry,
higher,
nouns,
gn,
onrekt,
tezos,
onchaincoin,
bleu,
ogs,
objkt,
japan777iine,
fcknclub,
f4f,
onchainsummer,
foundation,
pokemon,
no-channel,
thebanana,
rewarded,
korea-f4f,
parenting,
zeroorhero,
books,
tmi,
flora,
nippon-ham,
mask,
illustrations,
dude,
history,
meme,
farworld,
long,
gmers,
builtdifferent,
solana,
architecture,
phaver,
jamfrens,
cars,
degen-punks,
goat,
am,
anime-manga,
socola,
trasua,
hug,
gardening,
reactive,
nexus-infinitum,
fabric,
frontend,
undefined,
coolanimals,
black,
six,
zibb,
to,
product,
fairlaunch,
thecryptomasks,
bnw,
atmospherics,
likewen,
lounge,
doms,
degenpad,
300,
69ism,
welcome,
spin2win,
9to5,
artreply,
degencafe,
wanderlust,
ted,
yup,
layer3,
onchain-blocks,
airdrop,
theblockexp,
cryptomage,
696,
framedl,
zk,
geometric,
positivevibes,
fc-updates,
strawberry,
diet,
sketches,
diptychs,
toc,
fremen,
thetaproom,
enjoyart,
foodmenu,
dulich,
onchain,
imagine-infra,
neynar,
skip,
love,
metaliminal,
vaas,
wrt,
funtv,
lightchasers,
fire-japan,
nouns-draws,
nba,
degentlemen,
ottodao,
thehugxyz,
cryptoart-school,
animals,
veg,
running,
gaming,
movies,
gratitude,
animal-cutest,
ton,
degenartists,
cute-animals,
farquest,
motivation,
oldmasters,
art-hive,
goplaces,
nice,
dau,
coop,
spirituality,
berlin,
girthy,
purple,
cameron,
airdropfind,
quilibrium,
allowance,
fashion,
dog,
tiptoearn,
keepushing,
ai,
cryptobarjos,
trading,
360,
streamz,
tiengviet,
chicken,
cryptohub,
i-like-korea,
pet,
abstract,
skininthegame,
framedl-pro,
golf,
rainbow,
flowers,
castdrop,
new-york,
founder,
chatcast,
builders-brunch,
animeoutcasts,
optimism,
replygals,
neged-jp,
gurumenavijp,
behindthescenes,
karak,
nihonnofham,
konkorat,
treeplanting,
norse-heathenry,
morning-routine,
purp,
life,
coop-recs,
screens,
louder,"238853,15696, 206, 403020, 395131, 508334, 477292"
cryptoninjas,
nouns-animators,
apropos,
hamsters,
dogs,
anime,
justreadit,
phi,
art-studio,
pixelart,
steaktoken,
kimchi,
1337,
tradelab,
shower-thoughts,
nippou-nippon,
builderfi,
sexyparty,
fc-devs,
s-cute,
lebleuelefant,
politics,
boost,
dont-do-this,
news,
free,
decentral-perk,
quote-art,
tiptomint,
beearly,
consensus-2024,
casualcast,
fuckin-around,
gmfarcaster,
albumoftheday,
ethereum-aa,
nocontextmemes,
northern-army,
fans,
bounties,
nftartwithlauren,
superrare-jp,
dt,
quotes,
hangul,
freemint-oe,
cute-baby,
fruit,
poidh,
nft,
assclown,
skillissue,
finance,
basefrens,
likegroup,
marijuana-family,
beer,
eth,
gradients,
zatsudan,
payclub,
yellow,
caster,
words,
1sv-hidengem,
iconanimals,
groupies,
wac,
privacy,
toby,
ikare,
build-nominate,
trippy,
senso,
paidbulls,
outcasts,
bangers,
rust,
birds,
morning,
wagmigames,
fotografia,
white,
lessoninthere,
farhouse,
fckn,
gaycoinz,
fight-the-power,
weird,
minimalism,
howmuch,
union-stong,
sports,
degenfarm,
exchgart,
quanpho,
nerd,
base-degen-korea,
nook,
toady,
sf,
crypto-news,
empathy,
odds,
rare,
cat,
collage-art,
space,
design-everydays,
nouns-retro,
animalchannel,
otakulabs,
fries,
mek,
glitch-art,
1-of-1,
rock,
itan-world,
kawaii,
openventures,
geopolitics,
cheesecoin,
yoink,
someone-build,
old,
newtroarts,
streetart,
wips,
apesociety,
minimalize,
nightcrawlers,
give-away,
tech,
like-cmt-dao,
dailyaffirmation,
arbitrum,
prohibition,
kani,
nfc-summit,
photo-cast,
ham,
generalisms,
vip,
science,
fbi,
streetphotos,
degentimes,
automod,
europoooooor,
festivals,
supercast,
jackpot,
plants,
banmo,
setter,
imf,
cryptoplaza,
nature-macro,
tezos-tuesday,
basepaint,
conversations,
ak,
pichi,
july,
musicjp,
courtyard,
talent,
airdrop4u,
365photo,
reployguys,
ham-lotto,
japan,
thestreets,
tocd-jp,
degencast,
noggles,
toka,
zksync,
amaobanben10,
photonam,
foodie,
degen-lotto,
things,
wufs,
jobs,
use-the-light,
powerless,
degenaissance,
purps-packs,
business,
electronic,
un,
dopamine,
degenfans,
thebuilders,
ooo,
odegen,
sigd,
gloomtoken,
brianjckim,
littlehappyjp,
frames-devs,
japan-cashai,
1818,
1-bit,
project,
jpn,
womenart,
slime,
surreal,
tabletop,
intelligent,
wildcardclub,"4914, 7791"
blockbeats,
openrank,
moxie-korea,
fan-token-tavern,
bigenergy,
sense,
moxiejapan,
victory,
justbuild,
collectorscanyon,
hunt,
howmoxie,
buildingbears,
cloud,
superrare-fan,
moshicam,
fc-kr,
memes-kr,
pkok,
moxart,
degengate,
farther-friends,
woojoo,
nutellacrepe,
kr-itap-photos,
moxie,
anemale,
sands-of-sumaii,
rodeo-club,
mintclub,
maxionbase,
milk,
soju,
yeschef,
kollector,
cattown,
savage,
shitcasters,
portrait,
moxiemaxi,
crypto-trading,
dogwalk,
rainstory,
xbteam,
okbanger,
cryptofamily,
higher-athletics,
scroll,
predictandwin,
wake,
sota,
beginners,
farcasterunion,
moxietools,
butterflyeffect,
carrots,
ftc,
itookavideo,
honmono,
ckcapital,
natures-best,
cryptocommunity,
japanese-pub,
matcha,
nfl,
dirtykumquats,
microsub,
ouliposting,
bart,
squid-meeting,
ponder,
unique-vehicles,
farcasterfridays,
receipts,
honk,
consumercrypto,
aitookaphoto,
mood,
brainlet,
art-everywhere,
nickname,
algohan,
moxito,
richfriend,
brasil,
dropglobalnews,
beggarschannel,
los-fomos,
shape,
hodlhq,
cryptodickbutts,
coinbasewallet,
phaver-chinese,
dv,
web3appdev,
hoiaefarcastervn,
shakti,
adventure,
live-the-same,
lotusmarket,
gm-art,
punkrat,
campfire,
hypersub,
aesthetic,
penis,
ama,
macro,
techne,
antimeme,
catwalk,
basedpepe,
samantha,
lowcap-x100,
noc,
category-quiz,
thesuperchain,
stickrun,
sage,
vibra,
base-pidgin,
devcon,
the-arena,
airdropexplorers,
lightpainting,
sitio,
talkstory,
mlb,
home-repairs,
lambchop,
multiversx,
based-noobs,
theai,
cryptoleft,
buoy,
untzuntz,
apple,
aerial,
ethrome,
genius,
sixwordstory,
coinbase,
madrid,
polymarket,
cheryl,
eigenlayer,
creators,
funchables,
gameplay,
blobz,
advantage-hub,
videogamemusic,
ncrypt,
downshift,
los-angeles,
quote,
moz,
scout-game,
sandwich-cat,
impact,
seemore,
base-africa,
hotel-gyms,
marceland,
manysuchcases,
college-football,
ondo,
pkokcurated,
mfergpt,
sonny,
viet-nam-farcast,
atlas,
sharks,
paris,
social,
kyoto,
nouns-amigos,
defi,
strong,
wild,
gmgn,
dl3,
paragraph,
crypto-korea,
