i,j,v
2,19815,14
3,13683,6
2,6506,6
3,1941,15
3,12504,7
2,8602,1
3,189612,1
3,197070,1
2,2210,35
5,404,1
8,4959,6
9,31,1
3,14213,12
6,4606,13
3,4252,1
2,4275,9
2,11516,6
9,203,1
2,626,42
2,1025,3
2,18072,6
3,2497,1
3,5172,61
3,2275,1
3,742,232
2,11124,22
3,3625,1
3,3188,1
3,13560,4
2,642,7
8,701,9
2,7811,7
3,4132,7
9,5976,6
8,7637,12
2,3647,26
3,5694,148
3,332,1
3,725,2
6,25,1
3,5478,1
2,4200,21
3,7012,6
8,83,7
3,3291,1
2,12470,2
3,238564,6
3,15852,12
3,6116,14
3,4554,1
8,9135,19
9,20596,12
3,386,7
2,125,23
3,19627,73
4,65,1
3,18570,30
3,19463,13
2,14767,1
2,1098,2
3,241600,6
3,12480,173
9,368,1
2,616,258
9,113,1
4,1976,1
3,1551,1
3,14,1
6,691,1
3,694,1
9,66,1
3,566,1
3,1020,69
3,8598,1
3,20086,6
3,1409,1
3,2521,13
3,5102,12
2,9307,2
8,761,1
3,11123,2
3,10602,7
2,19595,1
8,20198,19
2,9193,67
2,2228,6
3,190160,12
3,6153,9
5,143,1
9,224,7
3,12872,12
3,690,1
3,20413,1
3,17342,12
2,189359,6
3,10906,6
3,5159,1
3,189755,13
3,20431,1
3,190587,6
3,1011,22
3,13784,82
3,10086,6
3,7087,6
3,13299,1
2,17,476
9,182,1
4,34,1
3,12708,12
3,4319,7
2,4090,1
3,2714,1
5,4606,1
3,6643,6
3,2987,33
3,5820,2
3,1001,19
3,4914,2
3,4214,49
3,4011,1
3,1039,1
2,2763,1
2,4959,25
2,13176,15
9,274,1
3,4286,632
2,135,1
7,34,1
8,12144,12
3,405,7
2,5404,1
8,68,13
3,10066,1
3,13071,25
3,501,6
3,10976,13
2,7048,2
6,238,1
3,6043,12
9,3980,1
3,653,1
2,17761,29
3,2600,13
2,7258,39
3,9134,8
2,5216,1
2,899,1
3,4450,1
9,307,1
4,48,1
9,256,1
3,2477,1
3,4904,116
4,1048,19
5,10,1
3,287,1
2,5172,8
3,18458,19
2,3488,8
3,3692,49
2,1161,6
3,17408,2
2,315,76
9,28,1
9,117,1
6,215,1
2,3027,31
3,7985,25
8,206,48
3,5263,37
3,1720,1
2,2824,1
2,18489,1
2,3797,15
4,1045,1
2,3593,16
3,143,240
4,540,25
3,3308,1
3,1642,55
2,821,7
8,114,101
3,576,1263
3,301,1
8,9700,8
3,1499,30
3,12948,13
3,554,1
3,227,1
5,2107,1
2,8975,1
3,17727,13
9,451,1
8,24,11
2,72,13
3,5593,1
2,7133,1
2,14225,7
5,6487,1
3,8988,112
3,455,1
2,9265,7
3,824,1
3,1776,26
9,200,1
3,2398,1
8,236173,9
9,233,1
8,7068,12
3,66,486
3,21975,6
3,11502,1
7,2210,1
8,211641,6
3,1992,35
5,1020,1
2,6524,6
3,3368,1
3,9976,13
2,6018,12
3,1500,1
3,577,32
9,12551,1
3,1237,1063
3,192336,2
3,20697,12
2,210360,6
5,288,1
2,257,1
9,4556,1
2,8899,1
9,270,1
9,249,1
3,3000,1
3,4719,30
3,232,1
2,9677,6
2,19766,1
6,913,1
2,6846,1
3,571,8
9,359,1
3,19752,1
2,189616,6
3,449,1
2,211455,6
3,5011,31
3,1194,1
2,5270,4
8,8080,6
3,210,1
3,1003,1
3,13735,1
3,221,1
3,7237,75
3,5445,6
9,81,1
2,17247,26
3,3073,1
9,137,1
3,3573,1
3,2605,1
8,93,6
3,704,1
8,9280,1
9,287,1
2,4152,13
2,4743,1
2,9470,4
3,1791,25
2,190861,5
3,5832,139
2,570,1
9,199,1
3,3219,14
2,20919,2
3,13791,1
3,245,1
3,10519,12
8,3612,1
3,18723,11
2,8794,6
3,3057,1
2,2134,38
2,816,7
3,2332,1
3,189076,6
4,1056,13
3,8807,6
3,19530,6
2,6131,41
8,4895,1
3,243549,1
2,333312,1
2,569,13
7,35,1
9,234,1
3,3745,13
3,16522,17
3,14287,6
8,6909,6
3,7429,13
3,20140,6
3,2878,37
4,457,31
2,3562,6
8,3454,23
9,6,7
8,12637,4
2,15032,3
3,3534,1
3,6698,1
4,125,7
6,876,6
3,6286,13
3,10461,14
2,557,162
3,191855,6
3,6986,21
3,191143,6
4,7143,7
5,1606,1
3,19740,11
2,15212,1
2,7589,1
2,2268,127
3,16054,12
3,998,20
2,120,1
3,1421,1
3,6557,6
3,593,1
2,198265,1
3,231,1
5,1659,1
3,12690,34
2,20843,1
3,465,15
8,2313,6
3,2349,14
2,3417,26
3,3524,8
8,11032,14
2,195917,39
3,189376,1
2,21066,6
3,296,13
2,859,1
3,5083,7
6,18,1
2,1593,32
3,8080,9
3,1822,1
3,18655,1
2,7637,39
2,165,8
4,932,1
3,3327,1
2,9669,1
2,8558,6
2,195710,6
2,558,27
3,9820,1
2,17732,12
2,21360,4
5,165,1
3,4561,1
3,167,13
3,1298,3
3,191648,6
4,3417,6
3,469,94
3,203786,6
3,8947,6
7,7,6
3,16233,33
3,1287,317
8,189830,6
2,6910,3
3,9435,1
3,6615,25
4,172,7
4,347,19
2,711,20
2,4166,1
3,797,19
3,29,1
2,309,7
8,378,117
3,1372,1
5,1191,6
2,81,20
2,211837,1
3,621,20
3,616,501
2,193866,1
2,8528,6
3,2779,1
3,215322,12
4,399,25
4,100,1
2,8208,1
3,4023,7
2,847,7
9,378,1
2,955,1
3,1459,1
3,906,1
2,375,27
2,3382,1
3,6773,18
2,3781,1
3,3231,1
5,204,1
3,1918,109
8,4294,6
3,9013,7
6,1225,1
2,473,165
4,3548,1
3,1979,26
3,12847,5
3,18350,7
8,4269,2
2,306,6
3,17468,7
3,193163,9
3,187953,6
5,570,1
3,12329,1
9,15744,1
5,934,1
5,48,1
2,189435,1
2,15222,1
3,23478,2
4,2324,13
3,14471,6
3,6289,7
8,189694,6
8,788,17
2,270,7
2,14132,11
2,8080,24
3,3172,1
3,2239,1
2,193554,1
3,12612,6
3,7485,12
3,18925,54
9,164,1
8,4163,84
9,10963,1
2,141,1
3,249,1
3,12697,14
3,9964,6
3,10232,6
8,3972,1
2,4434,47
3,15373,6
3,194467,4
2,21749,1
4,1149,25
3,581,1
8,2007,4
2,11258,12
2,1663,7
3,23355,12
6,311,7
3,8826,6
9,11,1
3,1301,61
6,252,1
5,27,1
3,2308,10
3,17229,6
3,10766,1
3,4091,1
3,2744,25
8,6492,9
3,7870,18
2,17647,1
3,13796,19
3,255,1
6,1315,7
3,4294,18
2,50,61
2,2825,6
3,15531,41
3,13169,7
2,4504,1
3,5952,82
3,6791,1
3,188389,8
3,378,511
3,703,1
3,6376,15
3,3915,1
3,2070,13
8,4322,6
2,13071,1
5,269,1
3,13840,1
3,717,1
3,3486,1
3,9977,3
3,10863,12
3,955,25
2,2924,8
3,1412,1
4,43,19
3,162,112
3,3837,1
3,10365,1
2,45,14
3,305,32
2,357,1
8,3435,6
3,1738,1
8,4655,1
2,2770,16
3,210642,12
8,5713,13
3,239,1188
8,7097,12
3,612,1
3,10936,7
3,4200,1
2,7808,6
2,828,6
3,8460,6
4,302,8
2,661,1
5,83,1
3,16707,7
8,3750,7
2,20883,1
9,238,1
2,623,6
3,1068,17
3,193551,21
9,133,1
2,326,55
3,9051,9
9,269,1
3,19074,13
8,1484,6
8,358,46
3,10447,12
2,4750,6
3,12388,12
3,860,1
2,5243,25
2,3453,6
3,18061,1
3,3771,3
2,1996,32
3,12179,6
8,4525,8
9,187,1
3,3192,1
2,313859,1
2,8274,6
3,188303,30
2,7856,6
3,6586,7
4,2536,1
8,12812,1
8,412,18
2,2433,35
2,559,1
3,8157,6
3,6591,159
3,4795,1
5,12,2
3,16340,1
3,1762,18
8,12480,54
3,10039,12
3,1117,164
2,1180,1
3,400,1
3,4280,2
2,349,2
3,528,894
9,15,1
3,146,1
3,7468,6
3,192617,4
2,10178,1
8,11489,6
2,14471,1
2,16284,6
8,211246,6
4,1062,25
3,6164,1
2,7732,1
3,9027,12
3,3488,13
3,15339,1
8,172,1
3,2134,80
4,2312,6
3,212078,1
2,6445,24
3,334,7
3,264487,1
3,16736,6
2,127,39
8,4262,2
3,5270,7
6,56,1
3,3097,1
3,6381,68
2,13901,1
2,1668,1
3,1231,7
3,298,1
9,201,1
8,472,271
4,138,1
3,16332,1
2,893,3
3,2971,1
6,26,1
3,1537,1
3,2854,6
3,19878,6
3,1891,1
2,190218,4
3,8079,21
3,12443,61
2,4417,56
3,4366,1
3,8528,7
8,216,12
3,8574,1
3,10956,13
3,5844,6
3,9952,13
9,10377,1
3,2084,36
2,6394,17
3,615,13
3,191215,1
2,16203,2
3,7234,7
4,2934,1
2,212722,4
3,14530,1
2,10841,8
3,480,1
3,19629,1
3,2954,1
5,1,13
