i,j,v
2,3,1
2,4,1
2,5,1
2,6,1
2,8,1
2,9,1
2,10,1
2,12,1
2,13,1
2,15,1
2,16,1
2,17,1
2,18,1
2,19,1
2,20,1
2,21,1
2,23,1
2,24,1
2,25,1
2,28,1
2,30,1
2,37,1
2,39,1
2,40,1
2,43,1
2,45,1
2,48,1
2,50,1
2,51,1
2,52,1
2,53,1
2,54,1
2,56,1
2,57,1
2,59,1
2,60,1
2,66,1
2,67,1
2,68,1
2,73,1
2,75,1
2,79,1
2,80,1
2,81,1
2,88,1
2,99,1
2,101,1
2,105,1
2,106,1
2,108,1
2,110,1
2,114,1
2,124,1
2,125,1
2,127,1
2,129,1
2,133,1
2,143,1
2,144,1
2,147,1
2,159,1
2,160,1
2,162,1
2,165,1
2,169,1
2,191,1
2,193,1
2,194,1
2,203,1
2,206,1
2,207,1
2,217,1
2,224,1
2,225,1
2,234,1
2,238,1
2,239,1
2,243,1
2,258,1
2,269,1
2,274,1
2,276,1
2,280,1
2,283,1
2,288,1
2,295,1
2,297,1
2,299,1
2,302,1
2,303,1
2,305,1
2,307,1
2,311,1
2,312,1
2,315,1
2,323,1
2,324,1
2,325,1
2,326,1
2,331,1
