i,j,v,date,strategy_id
2,3,76,2024-09-24,11
2,8,16,2024-09-24,11
2,9,9,2024-09-24,11
2,10,7,2024-09-24,11
2,12,46,2024-09-24,11
2,18,16,2024-09-24,11
2,20,25,2024-09-24,11
2,22,1,2024-09-24,11
2,24,1,2024-09-24,11
2,25,1,2024-09-24,11
2,28,13,2024-09-24,11
2,34,2,2024-09-24,11
2,37,19,2024-09-24,11
2,39,2,2024-09-24,11
2,40,5,2024-09-24,11
2,44,7,2024-09-24,11
2,50,1,2024-09-24,11
2,51,5,2024-09-24,11
2,52,1,2024-09-24,11
2,56,11,2024-09-24,11
2,57,8,2024-09-24,11
2,59,1,2024-09-24,11
2,60,7,2024-09-24,11
2,70,7,2024-09-24,11
2,72,12,2024-09-24,11
2,73,1,2024-09-24,11
2,75,1,2024-09-24,11
2,79,1,2024-09-24,11
2,80,1,2024-09-24,11
2,97,2,2024-09-24,11
2,99,8,2024-09-24,11
2,105,8,2024-09-24,11
2,106,3,2024-09-24,11
2,124,7,2024-09-24,11
2,129,30,2024-09-24,11
2,144,1,2024-09-24,11
2,158,4,2024-09-24,11
2,159,21,2024-09-24,11
2,169,18,2024-09-24,11
2,191,16,2024-09-24,11
2,194,52,2024-09-24,11
2,204,1,2024-09-24,11
2,207,11,2024-09-24,11
2,216,13,2024-09-24,11
2,224,2,2024-09-24,11
2,234,24,2024-09-24,11
2,238,19,2024-09-24,11
2,239,52,2024-09-24,11
2,251,1,2024-09-24,11
2,280,68,2024-09-24,11
2,288,1,2024-09-24,11
2,296,1,2024-09-24,11
2,302,15,2024-09-24,11
2,359,27,2024-09-24,11
2,366,8,2024-09-24,11
2,368,1,2024-09-24,11
2,369,1,2024-09-24,11
2,373,4,2024-09-24,11
2,375,14,2024-09-24,11
2,377,1,2024-09-24,11
2,378,9,2024-09-24,11
2,383,1,2024-09-24,11
2,412,4,2024-09-24,11
2,426,14,2024-09-24,11
2,429,4,2024-09-24,11
2,431,5,2024-09-24,11
2,451,29,2024-09-24,11
2,453,1,2024-09-24,11
2,457,27,2024-09-24,11
2,472,4,2024-09-24,11
2,473,24,2024-09-24,11
2,516,5,2024-09-24,11
2,528,24,2024-09-24,11
2,534,15,2024-09-24,11
2,548,13,2024-09-24,11
2,557,7,2024-09-24,11
2,576,29,2024-09-24,11
2,602,30,2024-09-24,11
2,611,1,2024-09-24,11
2,616,2,2024-09-24,11
2,617,11,2024-09-24,11
2,623,7,2024-09-24,11
2,646,2,2024-09-24,11
2,651,9,2024-09-24,11
2,679,2,2024-09-24,11
2,680,34,2024-09-24,11
2,701,18,2024-09-24,11
2,725,9,2024-09-24,11
2,733,4,2024-09-24,11
2,754,1,2024-09-24,11
2,762,1,2024-09-24,11
2,834,70,2024-09-24,11
2,864,2,2024-09-24,11
2,886,5,2024-09-24,11
2,893,1,2024-09-24,11
2,913,1,2024-09-24,11
2,917,1,2024-09-24,11
2,935,1,2024-09-24,11
2,941,8,2024-09-24,11
2,66,3,2024-09-24,11
2,68,3,2024-09-24,11
2,133,3,2024-09-24,11
2,162,3,2024-09-24,11
2,303,3,2024-09-24,11
2,347,21,2024-09-24,11
2,436,3,2024-09-24,11
2,794,3,2024-09-24,11
2,897,3,2024-09-24,11
2,989,3,2024-09-24,11
2,1048,3,2024-09-24,11
2,1082,3,2024-09-24,11
2,1095,3,2024-09-24,11
2,1137,6,2024-09-24,11
2,1237,3,2024-09-24,11
2,1325,39,2024-09-24,11
2,1356,18,2024-09-24,11
2,1380,3,2024-09-24,11
2,1407,36,2024-09-24,11
2,1689,24,2024-09-24,11
2,1725,9,2024-09-24,11
2,1887,18,2024-09-24,11
2,1898,3,2024-09-24,11
2,1918,6,2024-09-24,11
2,2074,3,2024-09-24,11
2,2210,6,2024-09-24,11
2,2211,3,2024-09-24,11
2,2228,21,2024-09-24,11
2,2283,3,2024-09-24,11
2,2329,3,2024-09-24,11
2,2433,3,2024-09-24,11
2,2445,3,2024-09-24,11
