i,j,v
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x5b93ff82faaf241c15997ea3975419dddd8362c5,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x46301f7e700be9cffce3e5e142a2244df3f2d4f2,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x10f5d45854e038071485ac9e402308cf80d2d2fe,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x0aa34eb615ab330b64060ff9fa994e72a7a95b59,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x673a827c0df98274fa94ef194f7f9d1a8a00bbb9,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xa4e221aa5a7ba51b5d5c7d5c923bfb9bcebcb252,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x0ed1f91769d6add12f3aca1229f96eea198ac0ed,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xb3cf50e0a578a6a64aff18d9b0e8459aab238bcb,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x179a862703a4adfb29896552df9e307980d19285,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x869ec00fa1dc112917c781942cc01c68521c415e,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x9eab9d856a3a667dc4cd10001d59c679c64756e7,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x8f1e16be9b6f88acf2cd58da84a335463350b9fb,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xdfe8beee223412f316baf2968b17527d6eba29f1,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x540c5f1c2a550047423a81deb20467fcab11b116,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x8a95d5f9ac0eebd5880199ea8fcd0fae845bbbf2,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x92382f5c6ad39829a07537d18807462960025725,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x5a492d1e15f2ae4b418e424ba9a1d112d6e9706a,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x3b60e31cfc48a9074cd5bebb26c9eaa77650a43f,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x538527f3602acad78596f17b422fcf5613af1409,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x333d0ebc54707c0a9d92cac749b3094c28a0e111,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xe5501bc2b0df6d0d7daafc18d2ef127d9e612963,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x5d25e3ebb10f4debf1d7b76eb94302d2d74c7035,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x141edb16c70307cf2f0f04af2dda75423a0e1bea,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x96a77560146501eaeb5e6d5b7d8dd1ed23defa23,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xb6f6dce6000ca88cc936b450cedb16a5c15f157f,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xeaf55242a90bb3289db8184772b0b98562053559,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xa49958fa14309f3720159c83cd92c5f38b1e3306,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x19ce57b670121e73e43be6c2fea5c254bb4c8760,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x3e6c23cdaa52b1b6621dbb30c367d16ace21f760,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xae65e700f3f8904ac1007d47a5309dd26f8146c0,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xdaa83039aca9a33b2e54bb2acc9f9c3a99357618,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xdd3bf199e65bba74144a9a1c0dfaeda32b911121,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x12cc729472c036b8d47882024077f61aa463d85b,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xabb485fdc925dc375b5d095a30fcae7f136fd007,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x6a46d7a8a5d34aeb166bbbdeb496ff1c14e445ce,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xce4eb76664210426e900c20d4a3741a6b0f64855,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xbf74483db914192bb0a9577f3d8fb29a6d4c08ee,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x2271fe6d76ab94352ef826d97445048bd8c4d45f,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x9be715efb145ea9b4b1a7117e1dd15effd47c431,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xd1eaefbeffd4106a1a166cd26a1fe23140d6a42e,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x3dedb545e9b89f63fa71ab75497735d802c9d26f,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xfdea65c8e26263f6d9a1b5de9555d2931a33b825,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xba2b9804fbffa8f1a8f7dc8dd600e21268bef09f,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xb0dd496ffffa300df1eff42702066aca81834404,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x05ff7cc8b490b38898744037f951f3247673c2ed,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x333601a803cac32b7d17a38d32c9728a93b422f4,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x0076f74cc966fdd705ded40df8ab86604e4b5759,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xb7254ce5cb61f69b3fc120b85f0f6b90d871036c,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xe943ca883ef3294e0fc55a1a14591abead1b5927,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xa2fe1d4145443ebc027f15c9f7ca27f7e9fd5f33,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x2503b70933119084c26df4c8d3e96d282de10743,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xb03f5438f9a243de5c3b830b7841ec315034cd5f,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xfdaae0c5a7a56c8265b9f86cf8cd934a494e3733,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xe6c97606be089a0455ef944b49588596f62136d3,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x65cef0400d3acaa112887dd55f52a9125e9686c2,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0xdd25f5d57e1ac3c7988543293f6babeba3df96d3,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x429f9ada43e9f345cbb85ec88681bb70df808892,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x11dbda78b4ba9384a49d440a3990bfb5052f5863,1
0x9acf607fa580e5857efde4cc1462326e0a6ffe8d,0x55432de4a9b98d2046b4173b8e59a7b540651f20,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x91031dcfdea024b4d51e775486111d2b2a715871,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x182327170fc284caaa5b1bc3e3878233f529d741,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0xd7029bdea1c17493893aafe29aad69ef892b8ff2,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0xa14b4c95b5247199d74c5578531b4887ca5e4909,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0xb877f7bb52d28f06e60f557c00a56225124b357f,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x8fc5d6afe572fefc4ec153587b63ce543f6fa2ea,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x17cd072cbd45031efc21da538c783e0ed3b25dcc,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x78ab747d6675ab1dfee31d0bfb6862124565aefc,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0xdc40cbf86727093c52582405703e5b97d5c64b66,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0xc60a0a0e8bbc32dac2e03030989ad6bee45a874d,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x794cec5ee2659859050d29d858cf46191649e1fa,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x849151d7d0bf1f34b70d5cad5149d28cc2308bf1,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0xe73f9c181b571cac2bf3173634d04a9921b7ffcf,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x6e0d9c6dd8a08509bb625caa35dc61a991406f62,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x18b7511938fbe2ee08adf3d4a24edb00a5c9b783,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x925afeb19355e289ed1346ede709633ca8788b25,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x4143a6b09545e1196ae3c9722a4c2cd50d3cc7ce,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x5b93ff82faaf241c15997ea3975419dddd8362c5,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x46301f7e700be9cffce3e5e142a2244df3f2d4f2,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x10f5d45854e038071485ac9e402308cf80d2d2fe,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x179a862703a4adfb29896552df9e307980d19285,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0xcbe46f7326913b28aaeddef5e9ccb29382b4a3c6,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x70d04384b5c3a466ec4d8cfb8213efc31c6a9d15,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0xe5501bc2b0df6d0d7daafc18d2ef127d9e612963,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x5d25e3ebb10f4debf1d7b76eb94302d2d74c7035,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x141edb16c70307cf2f0f04af2dda75423a0e1bea,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0xb6f6dce6000ca88cc936b450cedb16a5c15f157f,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0xa49958fa14309f3720159c83cd92c5f38b1e3306,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0xbe260b86e2ee35a406f9154107f242882ab00aee,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0xd17d1bcde2a28aade2b3b5012f93b8b079d0e86b,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x870523a2c5e37cc9eb50df9b77184284e0a60590,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0xd3e9d60e4e4de615124d5239219f32946d10151d,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x95a52074d9c28043c7d890d31f648612b7dd45a0,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x7b7fe82464e66d5c297f9de2bc0a8bfc7d6de5bd,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0xbc3ed6b537f2980e66f396fe14210a56ba3f72c4,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0xae65e700f3f8904ac1007d47a5309dd26f8146c0,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x6877be9e00d0bc5886c28419901e8cc98c1c2739,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x2333fcc3833d2e951ce8e821235ed3b729141996,1
0x5e2fa494cc71deb3d3697728fcb0b6e0582a9dcf,0x16d47b5d3eb6f0dccf067aac3bba8129fa0bc147,1
