i,j,v
320940,99,1
320940,124,1
320940,129,1
320940,143,1
320940,206,1
320940,207,1
320940,224,1
320940,239,1
320940,303,1
320940,347,1
320940,358,1
320940,359,1
320940,368,1
320940,378,1
320940,457,1
320940,534,1
320940,576,1
320940,602,1
320940,631,1
320940,680,1
320940,733,1
320940,742,1
320940,1097,1
320940,1171,1
320940,1237,1
320940,1317,1
320940,1321,1
320940,1325,1
320940,1380,1
320940,1689,1
320940,1766,1
320940,2433,1
320940,2689,1
320940,3306,1
320940,3621,1
320940,3860,1
320940,3887,1
320940,4085,1
320940,4167,1
320940,4373,1
320940,4378,1
320940,4407,1
320940,4409,1
320940,4434,1
320940,4606,1
320940,5283,1
320940,5431,1
320940,5543,1
320940,5650,1
320940,5991,1
320940,7236,1
320940,8413,1
320940,9816,1
320940,10420,1
320940,11188,1
320940,12567,1
320940,13833,1
320940,18152,1
320940,18989,1
320940,336323,1
320941,2,1
320941,3,1
320941,8,1
320941,12,1
320941,18,1
320941,51,1
320941,56,1
320941,60,1
320941,80,1
320941,99,1
320941,101,1
320941,108,1
320941,124,1
320941,129,1
320941,134,1
320941,206,1
320941,207,1
320941,224,1
320941,239,1
320941,274,1
320941,280,1
320941,303,1
320941,347,1
320941,350,1
320941,358,1
320941,359,1
320941,368,1
320941,369,1
320941,373,1
320941,378,1
320941,426,1
320941,451,1
320941,457,1
320941,472,1
320941,473,1
320941,528,1
320941,533,1
320941,534,1
320941,539,1
320941,548,1
